# soc=Ascend910_9362 cube=20 vec=40
case,B,M,N,K,dtype,tx1,tx2,min_ms,med_ms,pass,maxdiff,deterministic
case00,1,2,3,4,1,0,0,0.023,0.026,PASS,0.000000,1,ade672570ede4e3d
case01,1,16,256,64,1,0,0,0.034,0.035,PASS,0.000000,1,1046cc9bd43582d7
case02,1,100,100,100,1,0,0,0.202,0.207,PASS,0.000000,1,69eed9bf493a6294
case03,4,128,512,256,2,1,1,0.041,0.043,PASS,0.000244,1,96422ed9aabf15a4
case04,8,256,1024,512,1,0,1,0.069,0.070,PASS,0.000977,1,e610d4b002811e95
case05,16,64,2048,128,2,1,0,0.054,0.054,PASS,0.000061,1,35f3581cff801c7f
case06,1,1024,4096,512,2,0,1,0.097,0.101,PASS,0.005859,0,dc662950a36d636b
case07,1,512,4100,256,2,0,1,0.078,0.081,PASS,0.000977,1,1534ce1dd53d7658
case08,1,2048,8192,1024,1,0,0,0.416,0.417,FAIL,9.742188,0,4cc3b2130d4b7f4f
case09,1,4096,4096,4096,1,0,0,0.928,0.928,FAIL,60.843750,0,52658b8362f39da4
case10,1,8192,8192,2048,2,1,1,2.338,2.347,PASS,11.281250,0,6d9faa1c8875ed37
case11,1,8192,8192,8192,1,1,0,8.980,9.018,PASS,73.500000,0,6f277772fe6dbf43
case12,1,8191,8191,512,2,0,0,1.364,1.375,PASS,13.609375,0,6f7ee6e50e4593f7
case13,1,4096,100,2048,1,0,1,0.111,0.115,PASS,0.000000,1,ecc2d54663630013
case14,1,33,8192,128,2,1,0,0.094,0.096,PASS,0.000000,1,34e8624b70c5d231
case15,2,2048,2048,2048,1,1,1,0.309,0.313,PASS,0.015625,1,b699558023891271
case16,1,1024,1024,4096,2,0,0,0.099,0.101,PASS,0.000000,1,e2f1200c4289b098
case17,32,256,256,256,1,0,1,0.067,0.068,PASS,0.000732,1,f4961c58c2b29534
case18,1,16,16,16,2,1,1,0.034,0.036,PASS,0.000000,1,7e13cc0abcd04226
case19,1,5000,5000,96,1,1,0,0.358,0.359,PASS,0.000000,1,3514a9fac64642e6
case20,64,8192,8192,32,1,0,0,16.383,16.450,FAIL,892.308594,0,2a2b5b688323eea9
case21,64,8192,8192,32,2,1,1,16.372,16.385,FAIL,905.453125,0,c9fbaab57b12e227
case22,32,8192,8192,32,1,0,1,8.586,8.609,FAIL,895.332031,0,8a8458fa098f4cca
case23,64,8192,4096,32,2,1,0,8.378,8.378,FAIL,955.707031,0,e486d461bc35ec06
case24,16,8192,8192,32,1,0,0,4.759,4.849,FAIL,899.449219,0,763926ba7f9765bc
case25,64,8192,8192,64,1,0,0,17.416,17.434,FAIL,1328.257812,0,f40faa4a50087ac5
case26,64,8192,8192,128,2,1,1,17.600,17.604,FAIL,1894.148438,0,0fcf03056119c0ac
case27,8,8192,8192,128,1,0,0,3.113,3.114,FAIL,1821.046875,0,b5a468129cca54c8
case28,1,100,100,32,1,0,0,0.205,0.207,PASS,0.000000,1,e45d63cba133fe06
case30,1,16,16,16,1,0,0,0.030,0.031,PASS,0.000000,1,ee2911911ae5e063
case45,1,512,512,512,1,0,0,0.044,0.059,PASS,0.000977,1,3dcbdecc6e9da6bd
case46,1,256,256,256,1,0,0,0.035,0.036,PASS,0.000000,1,a23d499b39822488
case47,1,1024,512,512,2,0,0,0.046,0.050,PASS,0.003906,1,1a0fc5919b173d06
case48,2,512,512,512,1,0,0,0.041,0.044,PASS,0.000000,1,056db903b007c3fd
case49,1,2048,1024,256,1,0,0,0.062,0.067,PASS,0.000000,1,ff18454be4218d79
case50,1,1024,128,1024,2,0,1,0.040,0.042,PASS,0.005859,1,834663cb69b27980
case51,1,4096,4096,2048,1,0,0,0.522,0.526,PASS,0.046875,1,7492b27ea41dffc3
