# soc=Ascend910_9362 cube=20 vec=40
case,B,M,N,K,dtype,tx1,tx2,min_ms,med_ms,pass,maxdiff,deterministic
case00,1,2,3,4,1,0,0,0.028,0.696,PASS,0.000000,1,ade672570ede4e3d
case01,1,16,256,64,1,0,0,0.032,0.936,FAIL,111.735809,1,ade672570ede4e3d
case02,1,100,100,100,1,0,0,0.204,2.593,PASS,0.000000,1,69eed9bf493a6294
case03,4,128,512,256,2,1,1,0.043,0.108,FAIL,2083.743164,1,2a9154f64fe7702d
case04,8,256,1024,512,1,0,1,0.080,0.146,FAIL,6300.682129,1,58b65bfd8943a749
case05,16,64,2048,128,2,1,0,0.050,0.077,FAIL,840.933228,1,b23ba2f5065ae845
case06,1,1024,4096,512,2,0,1,0.102,0.125,FAIL,27613.294922,1,4a5e607d205d41b3
case07,1,512,4100,256,2,0,1,0.076,0.093,FAIL,9827.373047,1,503c0f5f99e23a54
case08,1,2048,8192,1024,1,0,0,0.400,0.472,FAIL,81574.039062,1,26302116171e31e0
case09,1,4096,4096,4096,1,0,0,0.857,1.020,FAIL,314612.937500,1,aa4ab9cd3d43806e
case10,1,8192,8192,2048,2,1,1,2.036,2.849,FAIL,466072.593750,1,439744e0975f44f6
case11,1,8192,8192,8192,1,1,0,8.957,9.039,FAIL,935504.125000,1,439744e0975f44f6
case12,1,8191,8191,512,2,0,0,1.294,1.434,FAIL,229978.187500,1,439744e0975f44f6
case13,1,4096,100,2048,1,0,1,0.086,0.202,FAIL,155531.390625,1,99d69c0fdbf4de8b
case14,1,33,8192,128,2,1,0,0.097,0.118,FAIL,466.181854,1,e9a058d3d2ec39a0
case15,2,2048,2048,2048,1,1,1,0.278,0.341,FAIL,105441.601562,1,0ae071179e7a30e5
case16,1,1024,1024,4096,2,0,0,0.096,0.143,FAIL,70834.835938,1,8061d50b58bb6699
case17,32,256,256,256,1,0,1,0.054,0.073,FAIL,3941.849854,1,c5fe61a743ad1491
case18,1,16,16,16,2,1,1,0.037,0.038,PASS,0.000000,1,7e13cc0abcd04226
case19,1,5000,5000,96,1,1,0,0.310,0.535,FAIL,55863.023438,1,aa477ac7bd1fab1d
case20,64,8192,8192,32,1,0,0,10.287,10.399,FAIL,56765.503906,1,5e1e0f3cce8c83e8
case21,64,8192,8192,32,2,1,1,10.262,10.267,FAIL,56779.695312,1,5e1e0f3cce8c83e8
case22,32,8192,8192,32,1,0,1,5.509,5.559,FAIL,56829.757812,1,4c3c9366f6270800
case23,64,8192,4096,32,2,1,0,5.339,5.384,FAIL,54464.292969,1,c74a5debe525f572
case24,16,8192,8192,32,1,0,0,3.253,3.379,FAIL,56730.929688,1,b30a5a6da5ae013f
case25,64,8192,8192,64,1,0,0,11.627,11.695,FAIL,81802.593750,1,5e1e0f3cce8c83e8
case26,64,8192,8192,128,2,1,1,13.751,13.794,FAIL,116675.015625,1,5e1e0f3cce8c83e8
case27,8,8192,8192,128,1,0,0,2.584,2.625,FAIL,116426.414062,1,f796b5380604e1eb
case28,1,100,100,32,1,0,0,0.197,0.229,PASS,0.000000,1,e45d63cba133fe06
case30,1,16,16,16,1,0,0,0.030,0.033,PASS,0.000000,1,ee2911911ae5e063
case45,1,512,512,512,1,0,0,0.058,0.078,FAIL,11749.008789,1,aea9513dc71aca1a
case46,1,256,256,256,1,0,0,0.039,0.040,FAIL,3814.596924,1,d2f6d7ca17f49eca
case47,1,1024,512,512,2,0,0,0.051,0.093,FAIL,23598.070312,1,7c1b2368e6b1bbdb
case48,2,512,512,512,1,0,0,0.041,0.047,FAIL,11660.761719,1,328794aa78fd23fd
case49,1,2048,1024,256,1,0,0,0.065,0.068,FAIL,35340.046875,1,a66bb2c1d8bac75c
case50,1,1024,128,1024,2,0,1,0.040,0.049,FAIL,28320.070312,1,7c1b2368e6b1bbdb
case51,1,4096,4096,2048,1,0,0,0.478,0.530,FAIL,224573.750000,1,1f4614a31dd5e481
