# soc=Ascend910_9362 cube=20 vec=40
case,B,M,N,K,dtype,tx1,tx2,min_ms,med_ms,pass,maxdiff,deterministic
case00,1,2,3,4,1,0,0,0.024,0.700,PASS,0.000000,1,ade672570ede4e3d
case01,1,16,256,64,1,0,0,0.039,0.937,FAIL,113.627213,1,315446a086a23133
case02,1,100,100,100,1,0,0,0.221,2.621,PASS,0.000000,1,69eed9bf493a6294
case03,4,128,512,256,2,1,1,0.042,0.097,FAIL,2083.743164,1,a31e272015f12c43
case04,8,256,1024,512,1,0,1,0.060,0.140,FAIL,6300.833008,1,171bb79dc8e18503
case05,16,64,2048,128,2,1,0,0.050,0.073,FAIL,841.023438,1,eebe4e4e51c6c683
case06,1,1024,4096,512,2,0,1,0.089,0.125,FAIL,27904.867188,1,315446a086a23133
case07,1,512,4100,256,2,0,1,0.071,0.086,FAIL,9828.547852,1,315446a086a23133
case08,1,2048,8192,1024,1,0,0,0.371,0.444,FAIL,83094.343750,1,315446a086a23133
case09,1,4096,4096,4096,1,0,0,0.873,1.036,FAIL,317295.812500,1,315446a086a23133
case10,1,8192,8192,2048,2,1,1,2.177,3.048,FAIL,470192.937500,1,315446a086a23133
case11,1,8192,8192,8192,1,1,0,9.155,9.163,FAIL,939624.437500,1,315446a086a23133
case12,1,8191,8191,512,2,0,0,1.200,1.371,FAIL,234098.515625,1,315446a086a23133
case13,1,4096,100,2048,1,0,1,0.088,0.205,FAIL,155531.390625,1,315446a086a23133
case14,1,33,8192,128,2,1,0,0.099,0.117,FAIL,466.283875,1,315446a086a23133
case15,2,2048,2048,2048,1,1,1,0.269,0.328,FAIL,106315.695312,1,47fe0d7eaf8e51e3
case16,1,1024,1024,4096,2,0,0,0.098,0.138,FAIL,70835.429688,1,315446a086a23133
case17,32,256,256,256,1,0,1,0.054,0.069,FAIL,3941.865967,1,306c537b2ff38983
case18,1,16,16,16,2,1,1,0.037,0.042,PASS,0.000000,1,7e13cc0abcd04226
case19,1,5000,5000,96,1,1,0,0.285,0.510,FAIL,59523.691406,1,315446a086a23133
case20,64,8192,8192,32,1,0,0,15.616,15.661,FAIL,56783.605469,1,dce53c1df8560f83
case21,64,8192,8192,32,2,1,1,15.630,15.658,FAIL,56797.871094,1,dce53c1df8560f83
case22,32,8192,8192,32,1,0,1,7.796,7.815,FAIL,56847.972656,1,306c537b2ff38983
case23,64,8192,4096,32,2,1,0,7.853,7.872,FAIL,54474.878906,1,dce53c1df8560f83
case24,16,8192,8192,32,1,0,0,3.958,4.034,FAIL,56749.019531,1,eebe4e4e51c6c683
case25,64,8192,8192,64,1,0,0,16.750,16.841,FAIL,81820.804688,1,dce53c1df8560f83
case26,64,8192,8192,128,2,1,1,16.945,16.969,FAIL,116693.398438,1,dce53c1df8560f83
case27,8,8192,8192,128,1,0,0,2.323,2.352,FAIL,116444.695312,1,171bb79dc8e18503
case28,1,100,100,32,1,0,0,0.212,0.234,PASS,0.000000,1,e45d63cba133fe06
case30,1,16,16,16,1,0,0,0.029,0.033,PASS,0.000000,1,ee2911911ae5e063
case45,1,512,512,512,1,0,0,0.059,0.082,FAIL,11749.009766,1,315446a086a23133
case46,1,256,256,256,1,0,0,0.043,0.045,FAIL,3814.602783,1,315446a086a23133
case47,1,1024,512,512,2,0,0,0.044,0.093,FAIL,23598.064453,1,315446a086a23133
case48,2,512,512,512,1,0,0,0.040,0.053,FAIL,11660.753906,1,47fe0d7eaf8e51e3
case49,1,2048,1024,256,1,0,0,0.051,0.061,FAIL,35341.335938,1,315446a086a23133
case50,1,1024,128,1024,2,0,1,0.036,0.048,FAIL,28320.064453,1,315446a086a23133
case51,1,4096,4096,2048,1,0,0,0.491,0.533,FAIL,224582.453125,1,315446a086a23133
