# soc=Ascend910_9362 cube=20 vec=40
case,B,M,N,K,dtype,tx1,tx2,min_ms,med_ms,pass,maxdiff,deterministic
case00,1,2,3,4,1,0,0,0.026,0.729,PASS,0.000000,1,ade672570ede4e3d
case01,1,16,256,64,1,0,0,0.034,0.954,FAIL,73.303917,0,c73d09f537a20b17
case02,1,100,100,100,1,0,0,0.209,2.628,PASS,0.000000,1,69eed9bf493a6294
case03,4,128,512,256,2,1,1,0.042,0.095,FAIL,1244.788818,0,e1b28996c8200a47
case04,8,256,1024,512,1,0,1,0.071,0.154,FAIL,4801.576660,1,faeb5ff1d680b43c
case05,16,64,2048,128,2,1,0,0.053,0.077,FAIL,596.833557,1,3f8be4491ff2bd28
case06,1,1024,4096,512,2,0,1,0.095,0.137,FAIL,21297.394531,1,b39258cbaf3724ef
case07,1,512,4100,256,2,0,1,0.074,0.090,FAIL,6400.975586,1,f6bdfdee6f0a549d
case08,1,2048,8192,1024,1,0,0,0.410,0.477,FAIL,70075.796875,0,66866e0e9ccf9594
case09,1,4096,4096,4096,1,0,0,0.889,1.062,FAIL,284002.062500,0,c34d6c72365386f8
case10,1,8192,8192,2048,2,1,1,2.235,3.011,FAIL,398974.937500,0,3f8cbf6ef599738f
case11,1,8192,8192,8192,1,1,0,9.017,9.118,FAIL,868406.437500,0,3f8cbf6ef599738f
case12,1,8191,8191,512,2,0,0,1.358,1.490,FAIL,182451.468750,0,005cf0d0e1b12bf8
case13,1,4096,100,2048,1,0,1,0.111,0.224,FAIL,134740.546875,1,8011f0fb824493ad
case14,1,33,8192,128,2,1,0,0.095,0.107,FAIL,235.210129,1,09feee8dad4c5246
case15,2,2048,2048,2048,1,1,1,0.310,0.362,FAIL,90805.062500,1,f61a1550ee77db2d
case16,1,1024,1024,4096,2,0,0,0.100,0.147,FAIL,63606.480469,1,3fc7f7147aeead8d
case17,32,256,256,256,1,0,1,0.062,0.084,FAIL,2649.421875,1,409864dcce5011ac
case18,1,16,16,16,2,1,1,0.035,0.038,PASS,0.000000,1,7e13cc0abcd04226
case19,1,5000,5000,96,1,1,0,0.345,0.567,FAIL,27533.951172,0,38036f7071051e52
case20,64,8192,8192,32,1,0,0,12.227,12.259,FAIL,4474.332031,0,efe1b227f4c9b8f4
case21,64,8192,8192,32,2,1,1,12.244,12.244,FAIL,4464.757812,0,77217deecc509d0c
case22,32,8192,8192,32,1,0,1,6.563,6.571,FAIL,4467.878906,0,5dd8de12587aa45b
case23,64,8192,4096,32,2,1,0,6.317,6.335,FAIL,2231.878906,1,417a6a7616595383
case24,16,8192,8192,32,1,0,0,3.724,3.729,FAIL,4477.792969,0,7a3fdf4f5ce27984
case25,64,8192,8192,64,1,0,0,12.240,12.268,FAIL,29495.140625,0,c5a9a431d9bb29e4
case26,64,8192,8192,128,2,1,1,13.976,14.028,FAIL,64450.398438,0,c7beb7db000c1eda
case27,8,8192,8192,128,1,0,0,2.589,2.627,FAIL,64141.164062,0,958d6c0fd776c985
case28,1,100,100,32,1,0,0,0.208,0.242,PASS,0.000000,1,e45d63cba133fe06
case30,1,16,16,16,1,0,0,0.030,0.034,PASS,0.000000,1,ee2911911ae5e063
case45,1,512,512,512,1,0,0,0.061,0.080,FAIL,2907.052734,0,ad85c63243be8476
case46,1,256,256,256,1,0,0,0.041,0.047,FAIL,144.018311,0,a5bab8192176f050
case47,1,1024,512,512,2,0,0,0.051,0.093,FAIL,741.566406,0,f3a7906369f387f4
case48,2,512,512,512,1,0,0,0.047,0.053,FAIL,985.590820,0,596ae506186b2dff
case49,1,2048,1024,256,1,0,0,0.066,0.072,FAIL,8655.753906,1,11f67f2ef626d31d
case50,1,1024,128,1024,2,0,1,0.041,0.058,FAIL,3156.621094,0,b26164839983a530
case51,1,4096,4096,2048,1,0,0,0.521,0.571,FAIL,85163.156250,0,71486af6da7461e2
