# soc=Ascend910_9362 cube=20 vec=40
case,B,M,N,K,dtype,tx1,tx2,min_ms,med_ms,pass,maxdiff,deterministic
case00,1,2,3,4,1,0,0,0.033,0.713,PASS,0.000000,1,ade672570ede4e3d
case01,1,16,256,64,1,0,0,0.036,0.968,PASS,0.000000,1,1046cc9bd43582d7
case02,1,100,100,100,1,0,0,0.206,2.619,PASS,0.000000,1,69eed9bf493a6294
case03,4,128,512,256,2,1,1,0.044,0.100,PASS,0.000244,1,96422ed9aabf15a4
case04,8,256,1024,512,1,0,1,0.070,0.155,PASS,0.000977,1,e610d4b002811e95
case05,16,64,2048,128,2,1,0,0.053,0.080,PASS,0.000061,1,35f3581cff801c7f
case06,1,1024,4096,512,2,0,1,0.098,0.139,PASS,0.005859,1,dc662950a36d636b
case07,1,512,4100,256,2,0,1,0.076,0.099,PASS,0.000977,1,1534ce1dd53d7658
case08,1,2048,8192,1024,1,0,0,0.412,0.489,PASS,0.007812,1,f8c84dd3a8171002
case09,1,4096,4096,4096,1,0,0,0.913,1.092,PASS,0.000000,1,afa2434c71ce7b80
case10,1,8192,8192,2048,2,1,1,2.357,3.197,PASS,0.218750,1,8955e3305b7e900b
case11,1,8192,8192,8192,1,1,0,9.290,9.402,PASS,0.000000,1,acff6d7d1ac46318
case12,1,8191,8191,512,2,0,0,1.369,1.567,PASS,0.015625,1,2421df71e54e2629
case13,1,4096,100,2048,1,0,1,0.114,0.231,PASS,0.000000,1,ecc2d54663630013
case14,1,33,8192,128,2,1,0,0.099,0.127,PASS,0.000000,1,34e8624b70c5d231
case15,2,2048,2048,2048,1,1,1,0.307,0.372,PASS,0.015625,1,b699558023891271
case16,1,1024,1024,4096,2,0,0,0.104,0.148,PASS,0.000000,1,e2f1200c4289b098
case17,32,256,256,256,1,0,1,0.065,0.098,PASS,0.000732,1,f4961c58c2b29534
case18,1,16,16,16,2,1,1,0.037,0.041,PASS,0.000000,1,7e13cc0abcd04226
case19,1,5000,5000,96,1,1,0,0.356,0.593,PASS,0.000000,1,3514a9fac64642e6
case20,64,8192,8192,32,1,0,0,16.311,16.413,PASS,0.042969,1,2974b24ef8b89fa7
case21,64,8192,8192,32,2,1,1,16.372,16.395,PASS,0.039062,1,e42be215f5b47728
case22,32,8192,8192,32,1,0,1,8.551,8.569,PASS,0.039062,1,71d8c2391340eefb
case23,64,8192,4096,32,2,1,0,8.410,8.464,PASS,0.042969,1,09c107b00f20b7d2
case24,16,8192,8192,32,1,0,0,4.762,4.847,PASS,0.023438,1,11c3d0f99f467969
case25,64,8192,8192,64,1,0,0,17.617,17.618,PASS,0.070312,1,95e0e015a47277c0
case26,64,8192,8192,128,2,1,1,17.667,17.695,PASS,0.078125,1,f6c68194c7af8076
case27,8,8192,8192,128,1,0,0,3.139,3.180,PASS,0.070312,1,bf5d1a7d11a46536
case28,1,100,100,32,1,0,0,0.199,0.235,PASS,0.000000,1,e45d63cba133fe06
case30,1,16,16,16,1,0,0,0.031,0.038,PASS,0.000000,1,ee2911911ae5e063
case45,1,512,512,512,1,0,0,0.064,0.085,PASS,0.000977,1,3dcbdecc6e9da6bd
case46,1,256,256,256,1,0,0,0.041,0.045,PASS,0.000000,1,a23d499b39822488
case47,1,1024,512,512,2,0,0,0.054,0.100,PASS,0.003906,1,1a0fc5919b173d06
case48,2,512,512,512,1,0,0,0.046,0.058,PASS,0.000000,1,056db903b007c3fd
case49,1,2048,1024,256,1,0,0,0.066,0.073,PASS,0.000000,1,ff18454be4218d79
case50,1,1024,128,1024,2,0,1,0.041,0.052,PASS,0.005859,1,834663cb69b27980
case51,1,4096,4096,2048,1,0,0,0.536,0.587,PASS,0.046875,1,7492b27ea41dffc3
