# soc=Ascend910_9362 cube=20 vec=40
case,B,M,N,K,dtype,tx1,tx2,min_ms,med_ms,pass,maxdiff,deterministic
case00,1,2,3,4,1,0,0,0.024,0.029,PASS,0.000000,1,ade672570ede4e3d
case01,1,16,256,64,1,0,0,0.034,0.035,PASS,0.000000,1,1046cc9bd43582d7
case02,1,100,100,100,1,0,0,0.203,0.204,PASS,0.000000,1,69eed9bf493a6294
case03,4,128,512,256,2,1,1,0.040,0.044,PASS,0.000244,1,96422ed9aabf15a4
case04,8,256,1024,512,1,0,1,0.072,0.079,PASS,0.000977,1,e610d4b002811e95
case05,16,64,2048,128,2,1,0,0.052,0.057,PASS,0.000061,1,35f3581cff801c7f
case06,1,1024,4096,512,2,0,1,0.098,0.100,PASS,0.005859,1,dc662950a36d636b
case07,1,512,4100,256,2,0,1,0.077,0.080,PASS,0.000977,1,1534ce1dd53d7658
case08,1,2048,8192,1024,1,0,0,0.406,0.407,PASS,0.007812,1,f8c84dd3a8171002
case09,1,4096,4096,4096,1,0,0,0.923,0.928,PASS,0.000000,1,afa2434c71ce7b80
case10,1,8192,8192,2048,2,1,1,2.343,2.349,PASS,0.218750,1,8955e3305b7e900b
case11,1,8192,8192,8192,1,1,0,9.243,9.285,PASS,0.000000,1,acff6d7d1ac46318
case12,1,8191,8191,512,2,0,0,1.364,1.379,PASS,0.015625,1,2421df71e54e2629
case13,1,4096,100,2048,1,0,1,0.113,0.115,PASS,0.000000,1,ecc2d54663630013
case14,1,33,8192,128,2,1,0,0.100,0.102,PASS,0.000000,1,34e8624b70c5d231
case15,2,2048,2048,2048,1,1,1,0.302,0.307,PASS,0.015625,1,b699558023891271
case16,1,1024,1024,4096,2,0,0,0.102,0.104,PASS,0.000000,1,e2f1200c4289b098
case17,32,256,256,256,1,0,1,0.064,0.065,PASS,0.000732,1,f4961c58c2b29534
case18,1,16,16,16,2,1,1,0.038,0.038,PASS,0.000000,1,7e13cc0abcd04226
case19,1,5000,5000,96,1,1,0,0.352,0.353,PASS,1.601562,0,27d838dd68d3586e
case20,64,8192,8192,32,1,0,0,16.300,16.376,FAIL,1036.886719,0,ecb9f2b4ebcca60a
case21,64,8192,8192,32,2,1,1,16.268,16.313,FAIL,1093.578125,0,3e335ac9d06ec0e7
case22,32,8192,8192,32,1,0,1,8.504,8.562,FAIL,1083.867188,0,fb6e5d57056a0d0f
case23,64,8192,4096,32,2,1,0,8.342,8.362,FAIL,1122.078125,0,23c1b1d8c536fa8f
case24,16,8192,8192,32,1,0,0,4.730,4.817,FAIL,1044.796875,0,d651298f24e790ad
case25,64,8192,8192,64,1,0,0,17.552,17.563,FAIL,1526.937500,0,2a99cef1aacbf7af
case26,64,8192,8192,128,2,1,1,17.562,17.573,FAIL,2253.312500,0,df8ed25f535fc402
case27,8,8192,8192,128,1,0,0,3.125,3.128,FAIL,2148.515625,0,7e2bfe5ddb094252
case28,1,100,100,32,1,0,0,0.201,0.212,PASS,0.000000,1,e45d63cba133fe06
case30,1,16,16,16,1,0,0,0.029,0.030,PASS,0.000000,1,ee2911911ae5e063
case45,1,512,512,512,1,0,0,0.049,0.061,PASS,0.000977,1,3dcbdecc6e9da6bd
case46,1,256,256,256,1,0,0,0.042,0.042,PASS,0.000000,1,a23d499b39822488
case47,1,1024,512,512,2,0,0,0.047,0.048,PASS,0.003906,1,1a0fc5919b173d06
case48,2,512,512,512,1,0,0,0.043,0.044,PASS,0.000000,1,056db903b007c3fd
case49,1,2048,1024,256,1,0,0,0.064,0.065,PASS,0.000000,1,ff18454be4218d79
case50,1,1024,128,1024,2,0,1,0.041,0.043,PASS,0.005859,1,834663cb69b27980
case51,1,4096,4096,2048,1,0,0,0.536,0.541,PASS,15.234375,1,226bdd25b75077a3
