# soc=Ascend910_9362 cube=20 vec=40
case,B,M,N,K,dtype,tx1,tx2,min_ms,med_ms,pass,maxdiff,deterministic
case00,1,2,3,4,1,0,0,0.023,0.025,PASS,0.000000,1,ade672570ede4e3d
case01,1,16,256,64,1,0,0,0.033,0.034,PASS,0.000000,1,1046cc9bd43582d7
case02,1,100,100,100,1,0,0,0.049,0.051,PASS,0.000000,1,69eed9bf493a6294
case03,4,128,512,256,2,1,1,0.043,0.044,PASS,0.000244,1,96422ed9aabf15a4
case04,8,256,1024,512,1,0,1,0.070,0.075,PASS,0.000977,1,e610d4b002811e95
case05,16,64,2048,128,2,1,0,0.054,0.057,PASS,0.000061,1,35f3581cff801c7f
case06,1,1024,4096,512,2,0,1,0.098,0.103,PASS,0.005859,1,dc662950a36d636b
case07,1,512,4100,256,2,0,1,0.078,0.078,PASS,0.000977,1,1534ce1dd53d7658
case08,1,2048,8192,1024,1,0,0,0.408,0.416,PASS,0.007812,1,f8c84dd3a8171002
case09,1,4096,4096,4096,1,0,0,0.931,0.932,PASS,0.000000,1,afa2434c71ce7b80
case10,1,8192,8192,2048,2,1,1,2.381,2.385,PASS,0.218750,1,8955e3305b7e900b
case11,1,8192,8192,8192,1,1,0,9.080,9.133,PASS,0.000000,1,acff6d7d1ac46318
case12,1,8191,8191,512,2,0,0,1.350,1.351,PASS,0.015625,1,2421df71e54e2629
case13,1,4096,100,2048,1,0,1,0.111,0.116,PASS,0.000000,1,ecc2d54663630013
case14,1,33,8192,128,2,1,0,0.098,0.099,PASS,0.000000,1,34e8624b70c5d231
case15,2,2048,2048,2048,1,1,1,0.304,0.308,PASS,0.015625,1,b699558023891271
case16,1,1024,1024,4096,2,0,0,0.098,0.103,PASS,0.000000,1,e2f1200c4289b098
case17,32,256,256,256,1,0,1,0.065,0.067,PASS,0.000732,1,f4961c58c2b29534
case18,1,16,16,16,2,1,1,0.037,0.037,PASS,0.000000,1,7e13cc0abcd04226
case19,1,5000,5000,96,1,1,0,0.360,0.360,PASS,0.000000,1,3514a9fac64642e6
case20,64,8192,8192,32,1,0,0,16.394,16.438,FAIL,938.800781,0,bd67a27f17c5ada9
case21,64,8192,8192,32,2,1,1,16.317,16.381,FAIL,914.582031,0,afe50a508b6181f7
case22,32,8192,8192,32,1,0,1,8.589,8.614,FAIL,922.113281,0,cd30e13bfe6b918f
case23,64,8192,4096,32,2,1,0,8.360,8.365,FAIL,971.214844,0,c89084f1d1e35569
case24,16,8192,8192,32,1,0,0,4.761,4.809,FAIL,941.128906,0,af3a36d69343fd07
case25,64,8192,8192,64,1,0,0,17.406,17.431,FAIL,1377.632812,0,8dbaee0e130aac16
case26,64,8192,8192,128,2,1,1,17.625,17.631,FAIL,1969.054688,0,bd27bdb82e9d828c
case27,8,8192,8192,128,1,0,0,3.119,3.120,FAIL,1880.171875,0,fdf0ba6eb71f34e1
case28,1,100,100,32,1,0,0,0.044,0.044,PASS,0.000000,1,e45d63cba133fe06
case30,1,16,16,16,1,0,0,0.030,0.030,PASS,0.000000,1,ee2911911ae5e063
case45,1,512,512,512,1,0,0,0.045,0.061,PASS,0.000977,1,3dcbdecc6e9da6bd
case46,1,256,256,256,1,0,0,0.041,0.042,PASS,0.000000,1,a23d499b39822488
case47,1,1024,512,512,2,0,0,0.045,0.053,PASS,0.003906,1,1a0fc5919b173d06
case48,2,512,512,512,1,0,0,0.043,0.044,PASS,0.000000,1,056db903b007c3fd
case49,1,2048,1024,256,1,0,0,0.068,0.068,PASS,0.000000,1,ff18454be4218d79
case50,1,1024,128,1024,2,0,1,0.044,0.044,PASS,0.005859,1,834663cb69b27980
case51,1,4096,4096,2048,1,0,0,0.529,0.532,PASS,13.828125,0,6ab372146053e129
