# soc=Ascend910_9362 cube=20 vec=40
case,B,M,N,K,dtype,tx1,tx2,min_ms,med_ms,pass,maxdiff,deterministic
case00,1,2,3,4,1,0,0,0.027,0.028,PASS,0.000000,1,ade672570ede4e3d
case01,1,16,256,64,1,0,0,0.035,0.038,PASS,0.000000,1,1046cc9bd43582d7
case02,1,100,100,100,1,0,0,0.054,0.063,PASS,0.000000,1,69eed9bf493a6294
case03,4,128,512,256,2,1,1,0.045,0.048,PASS,0.000244,1,96422ed9aabf15a4
case04,8,256,1024,512,1,0,1,0.072,0.073,PASS,0.000977,1,e610d4b002811e95
case05,16,64,2048,128,2,1,0,0.052,0.054,PASS,0.000061,1,35f3581cff801c7f
case06,1,1024,4096,512,2,0,1,0.100,0.101,PASS,0.005859,0,dc662950a36d636b
case07,1,512,4100,256,2,0,1,0.077,0.079,PASS,0.000977,1,1534ce1dd53d7658
case08,1,2048,8192,1024,1,0,0,0.417,0.417,PASS,0.007812,0,f8c84dd3a8171002
case09,1,4096,4096,4096,1,0,0,0.925,0.926,PASS,3.218750,0,3660b7bcda93adca
case10,1,8192,8192,2048,2,1,1,2.340,2.341,PASS,11.343750,0,943581e9e28084b9
case11,1,8192,8192,8192,1,1,0,9.293,9.400,PASS,66.437500,0,670b48d1d69a1dfd
case12,1,8191,8191,512,2,0,0,1.353,1.358,PASS,13.609375,0,6f7ee6e50e4593f7
case13,1,4096,100,2048,1,0,1,0.113,0.113,PASS,0.000000,1,ecc2d54663630013
case14,1,33,8192,128,2,1,0,0.094,0.096,PASS,0.000000,1,34e8624b70c5d231
case15,2,2048,2048,2048,1,1,1,0.309,0.311,PASS,0.015625,1,b699558023891271
case16,1,1024,1024,4096,2,0,0,0.099,0.101,PASS,0.000000,1,e2f1200c4289b098
case17,32,256,256,256,1,0,1,0.067,0.082,PASS,0.000732,1,f4961c58c2b29534
case18,1,16,16,16,2,1,1,0.037,0.038,PASS,0.000000,1,7e13cc0abcd04226
case19,1,5000,5000,96,1,1,0,0.356,0.362,PASS,5.691406,0,7f5e21b2c388e3cf
case20,64,8192,8192,32,1,0,0,18.131,18.140,FAIL,37.214844,0,81b32c710f0a6d19
case21,64,8192,8192,32,2,1,1,18.205,18.285,FAIL,34.714844,0,3f3f24d6c527e758
case22,32,8192,8192,32,1,0,1,9.716,9.751,FAIL,36.125000,0,b4ea833ca64c5756
case23,64,8192,4096,32,2,1,0,9.208,9.208,FAIL,17.175781,0,76f3b13b34e880ce
case24,16,8192,8192,32,1,0,0,5.557,5.671,FAIL,43.679688,0,a4e5ef42461d0ad4
case25,64,8192,8192,64,1,0,0,19.611,19.613,FAIL,28.093750,0,67f94f3eadf9a187
case26,64,8192,8192,128,2,1,1,19.655,19.664,FAIL,27.859375,0,58f19c0b0bdee5ff
case27,8,8192,8192,128,1,0,0,3.774,3.788,FAIL,25.875000,0,d24d3acbd98cd2fa
case28,1,100,100,32,1,0,0,0.044,0.045,PASS,0.000000,1,e45d63cba133fe06
case29,1,16,3,4,1,0,0,0.024,0.027,PASS,0.000000,1,365f559353e6e884
case30,1,16,16,16,1,0,0,0.032,0.032,PASS,0.000000,1,ee2911911ae5e063
case31,1,16,16,16,1,1,1,0.032,0.033,PASS,0.000000,1,7ac90d9149facb6e
case32,1,16,32,16,1,0,0,0.028,0.029,PASS,0.000000,1,1c6e809cf44ad08e
case33,1,16,32,32,1,0,0,0.033,0.035,PASS,0.000000,1,1371f7ef3b2c8ce2
case34,1,16,3,32,1,0,0,0.037,0.038,PASS,0.000002,1,896f612c6eedd368
case35,1,16,16,32,1,1,1,0.044,0.044,PASS,0.000000,1,b4be14d8bc0682d4
case36,1,16,16,32,1,0,1,0.027,0.029,PASS,0.000000,1,358732866588a516
case38,1,32,32,32,1,0,0,0.046,0.047,PASS,0.000000,1,5407c389f386a578
case39,1,64,16,32,2,0,0,0.089,0.089,PASS,0.000000,1,df0ff1811193dcd1
case40,1,8,128,32,2,1,1,0.109,0.113,PASS,0.000000,1,ccc39d234c97e16f
case41,2,16,32,32,1,1,0,0.036,0.037,PASS,0.000004,1,750cc314235f9a92
case42,1,128,8,32,1,0,1,0.056,0.057,PASS,0.000000,1,c2d8e0ec9f7e7d0e
case43,8,16,16,32,2,0,0,0.034,0.035,PASS,0.000004,1,e8caf9d35367242c
case44,1,8,256,32,1,0,0,0.026,0.026,PASS,0.000000,1,c759c7b6fadc9f94
case45,1,512,512,512,1,0,0,0.044,0.059,PASS,0.000977,1,3dcbdecc6e9da6bd
case46,1,256,256,256,1,0,0,0.035,0.041,PASS,0.000000,1,a23d499b39822488
case47,1,1024,512,512,2,0,0,0.043,0.051,PASS,0.003906,1,1a0fc5919b173d06
case48,2,512,512,512,1,0,0,0.043,0.045,PASS,0.000000,1,056db903b007c3fd
case49,1,2048,1024,256,1,0,0,0.063,0.063,PASS,0.000000,1,ff18454be4218d79
case50,1,1024,128,1024,2,0,1,0.041,0.042,PASS,0.005859,1,834663cb69b27980
case51,1,4096,4096,2048,1,0,0,0.529,0.529,PASS,0.046875,1,7492b27ea41dffc3
