# soc=Ascend910_9362 cube=20 vec=40
case,B,M,N,K,dtype,tx1,tx2,min_ms,med_ms,pass,maxdiff,deterministic
case00,1,2,3,4,1,0,0,0.044,0.071,PASS,0.000000,1,ade672570ede4e3d
case01,1,16,256,64,1,0,0,0.033,0.034,PASS,0.000000,1,1046cc9bd43582d7
case02,1,100,100,100,1,0,0,0.213,0.215,PASS,0.000000,1,69eed9bf493a6294
case03,4,128,512,256,2,1,1,0.045,0.046,PASS,0.000244,1,96422ed9aabf15a4
case04,8,256,1024,512,1,0,1,0.071,0.072,PASS,0.000977,1,e610d4b002811e95
case05,16,64,2048,128,2,1,0,0.054,0.054,PASS,0.000061,1,35f3581cff801c7f
case06,1,1024,4096,512,2,0,1,0.099,0.099,PASS,0.005859,1,dc662950a36d636b
case07,1,512,4100,256,2,0,1,0.077,0.080,PASS,0.000977,1,1534ce1dd53d7658
case08,1,2048,8192,1024,1,0,0,0.420,0.423,PASS,0.007812,1,f8c84dd3a8171002
case09,1,4096,4096,4096,1,0,0,0.911,0.913,PASS,0.000000,1,afa2434c71ce7b80
case10,1,8192,8192,2048,2,1,1,2.362,2.364,PASS,0.218750,1,8955e3305b7e900b
case11,1,8192,8192,8192,1,1,0,9.056,9.295,PASS,0.000000,1,acff6d7d1ac46318
case12,1,8191,8191,512,2,0,0,1.383,1.386,PASS,0.015625,1,2421df71e54e2629
case13,1,4096,100,2048,1,0,1,0.113,0.116,PASS,0.000000,1,ecc2d54663630013
case14,1,33,8192,128,2,1,0,0.091,0.096,PASS,0.000000,1,34e8624b70c5d231
case15,2,2048,2048,2048,1,1,1,0.307,0.307,PASS,0.015625,1,b699558023891271
case16,1,1024,1024,4096,2,0,0,0.102,0.104,PASS,0.000000,1,e2f1200c4289b098
case17,32,256,256,256,1,0,1,0.067,0.092,PASS,0.000732,1,f4961c58c2b29534
case18,1,16,16,16,2,1,1,0.032,0.035,PASS,0.000000,1,7e13cc0abcd04226
case19,1,5000,5000,96,1,1,0,0.350,0.360,PASS,0.000000,1,3514a9fac64642e6
case20,64,8192,8192,32,1,0,0,16.407,16.490,FAIL,937.613281,0,58ae1ed4f96fd55f
case21,64,8192,8192,32,2,1,1,16.424,16.453,FAIL,914.425781,0,9d7daae1de03ec65
case22,32,8192,8192,32,1,0,1,8.629,8.660,FAIL,912.714844,0,7e6c18f7dbef5f0d
case23,64,8192,4096,32,2,1,0,8.416,8.419,FAIL,982.351562,0,422acef04c879dec
case24,16,8192,8192,32,1,0,0,4.767,4.845,FAIL,924.332031,0,412514cf30d967d3
case25,64,8192,8192,64,1,0,0,17.670,17.674,FAIL,1410.976562,0,2449b809938a6a62
case26,64,8192,8192,128,2,1,1,17.867,17.871,FAIL,1950.367188,0,872dfb77a2f0418b
case27,8,8192,8192,128,1,0,0,3.212,3.214,FAIL,1843.507812,0,c21680b65b71fb6e
case28,1,100,100,32,1,0,0,0.199,0.211,PASS,0.000000,1,e45d63cba133fe06
case30,1,16,16,16,1,0,0,0.031,0.033,PASS,0.000000,1,ee2911911ae5e063
case45,1,512,512,512,1,0,0,0.046,0.059,PASS,0.000977,1,3dcbdecc6e9da6bd
case46,1,256,256,256,1,0,0,0.041,0.041,PASS,0.000000,1,a23d499b39822488
case47,1,1024,512,512,2,0,0,0.043,0.052,PASS,0.003906,1,1a0fc5919b173d06
case48,2,512,512,512,1,0,0,0.044,0.044,PASS,0.000000,1,056db903b007c3fd
case49,1,2048,1024,256,1,0,0,0.064,0.065,PASS,0.000000,1,ff18454be4218d79
case50,1,1024,128,1024,2,0,1,0.041,0.041,PASS,0.005859,1,834663cb69b27980
case51,1,4096,4096,2048,1,0,0,0.548,0.573,PASS,15.234375,1,226bdd25b75077a3
