# soc=Ascend910_9362 cube=20 vec=40
case,B,M,N,K,dtype,tx1,tx2,min_ms,med_ms,pass,maxdiff,deterministic
case00,1,2,3,4,1,0,0,0.032,0.043,PASS,0.000000,1,ade672570ede4e3d
case01,1,16,256,64,1,0,0,0.044,0.050,PASS,0.000000,1,1046cc9bd43582d7
case02,1,100,100,100,1,0,0,0.071,0.072,PASS,0.000000,1,69eed9bf493a6294
case03,4,128,512,256,2,1,1,0.040,0.043,PASS,0.000244,1,96422ed9aabf15a4
case04,8,256,1024,512,1,0,1,0.069,0.072,PASS,0.000977,1,e610d4b002811e95
case05,16,64,2048,128,2,1,0,0.057,0.061,PASS,0.000061,1,35f3581cff801c7f
case06,1,1024,4096,512,2,0,1,0.099,0.103,PASS,0.005859,1,dc662950a36d636b
case07,1,512,4100,256,2,0,1,0.077,0.078,PASS,0.000977,1,1534ce1dd53d7658
case08,1,2048,8192,1024,1,0,0,0.404,0.410,PASS,0.007812,1,f8c84dd3a8171002
case09,1,4096,4096,4096,1,0,0,0.921,0.925,PASS,0.000000,1,afa2434c71ce7b80
case10,1,8192,8192,2048,2,1,1,2.340,2.352,PASS,0.218750,1,8955e3305b7e900b
case11,1,8192,8192,8192,1,1,0,9.098,9.098,PASS,0.000000,1,acff6d7d1ac46318
case12,1,8191,8191,512,2,0,0,1.351,1.361,PASS,0.015625,1,2421df71e54e2629
case13,1,4096,100,2048,1,0,1,0.116,0.118,PASS,0.000000,1,ecc2d54663630013
case14,1,33,8192,128,2,1,0,0.094,0.097,PASS,0.000000,1,34e8624b70c5d231
case15,2,2048,2048,2048,1,1,1,0.305,0.310,PASS,0.015625,1,b699558023891271
case16,1,1024,1024,4096,2,0,0,0.101,0.102,PASS,0.000000,1,e2f1200c4289b098
case17,32,256,256,256,1,0,1,0.066,0.068,PASS,0.000732,1,f4961c58c2b29534
case18,1,16,16,16,2,1,1,0.031,0.032,PASS,0.000000,1,7e13cc0abcd04226
case19,1,5000,5000,96,1,1,0,0.352,0.360,PASS,0.000000,1,3514a9fac64642e6
case20,64,8192,8192,32,1,0,0,16.376,16.447,FAIL,934.593750,0,5fcac69cb7d261fa
case21,64,8192,8192,32,2,1,1,16.321,16.373,FAIL,931.113281,0,44f63c77ec331432
case22,32,8192,8192,32,1,0,1,8.579,8.595,FAIL,922.015625,0,6c20ff5219446822
case23,64,8192,4096,32,2,1,0,8.390,8.408,FAIL,1000.292969,0,8869c6b05fc62ffb
case24,16,8192,8192,32,1,0,0,4.765,4.792,FAIL,920.433594,0,e7a4cf22935c4c43
case25,64,8192,8192,64,1,0,0,17.407,17.416,FAIL,1354.835938,0,1075c304624c0949
case26,64,8192,8192,128,2,1,1,17.589,17.596,FAIL,1948.601562,0,c252f6f71124d373
case27,8,8192,8192,128,1,0,0,3.116,3.117,FAIL,2004.515625,0,3b8fdc2de00073eb
case28,1,100,100,32,1,0,0,0.042,0.043,PASS,0.000000,1,e45d63cba133fe06
case30,1,16,16,16,1,0,0,0.032,0.033,PASS,0.000000,1,ee2911911ae5e063
case45,1,512,512,512,1,0,0,0.047,0.060,PASS,0.000977,1,3dcbdecc6e9da6bd
case46,1,256,256,256,1,0,0,0.038,0.042,PASS,0.000000,1,a23d499b39822488
case47,1,1024,512,512,2,0,0,0.043,0.050,PASS,0.003906,1,1a0fc5919b173d06
case48,2,512,512,512,1,0,0,0.048,0.049,PASS,0.000000,1,056db903b007c3fd
case49,1,2048,1024,256,1,0,0,0.066,0.070,PASS,0.000000,1,ff18454be4218d79
case50,1,1024,128,1024,2,0,1,0.042,0.044,PASS,0.005859,1,834663cb69b27980
case51,1,4096,4096,2048,1,0,0,0.536,0.541,PASS,0.046875,1,7492b27ea41dffc3
