# soc=Ascend910_9362 cube=20 vec=40
case,B,M,N,K,dtype,tx1,tx2,min_ms,med_ms,pass,maxdiff,deterministic
case00,1,2,3,4,1,0,0,0.027,0.705,FAIL,1.891402,1,315446a086a23133
case01,1,16,256,64,1,0,0,0.035,0.941,PASS,0.000000,1,1046cc9bd43582d7
case02,1,100,100,100,1,0,0,0.206,2.600,PASS,0.000000,1,69eed9bf493a6294
case03,4,128,512,256,2,1,1,0.043,0.106,PASS,0.000244,1,96422ed9aabf15a4
case04,8,256,1024,512,1,0,1,0.072,0.157,PASS,0.000977,1,e610d4b002811e95
case05,16,64,2048,128,2,1,0,0.054,0.076,PASS,0.000061,1,35f3581cff801c7f
case06,1,1024,4096,512,2,0,1,0.100,0.135,PASS,0.005859,1,dc662950a36d636b
case07,1,512,4100,256,2,0,1,0.077,0.091,PASS,0.000977,1,1534ce1dd53d7658
case08,1,2048,8192,1024,1,0,0,0.428,0.501,PASS,0.007812,1,f8c84dd3a8171002
case09,1,4096,4096,4096,1,0,0,0.945,1.081,PASS,0.000000,1,afa2434c71ce7b80
case10,1,8192,8192,2048,2,1,1,2.348,3.198,PASS,0.218750,1,8955e3305b7e900b
case11,1,8192,8192,8192,1,1,0,9.333,9.341,PASS,0.000000,1,acff6d7d1ac46318
case12,1,8191,8191,512,2,0,0,1.365,1.555,PASS,0.015625,1,2421df71e54e2629
case13,1,4096,100,2048,1,0,1,0.113,0.237,PASS,0.000000,1,ecc2d54663630013
case14,1,33,8192,128,2,1,0,0.098,0.118,PASS,0.000000,1,34e8624b70c5d231
case15,2,2048,2048,2048,1,1,1,0.309,0.374,PASS,0.015625,1,b699558023891271
case16,1,1024,1024,4096,2,0,0,0.098,0.150,PASS,0.000000,1,e2f1200c4289b098
case17,32,256,256,256,1,0,1,0.067,0.086,PASS,0.000732,1,f4961c58c2b29534
case18,1,16,16,16,2,1,1,0.020,0.023,FAIL,35.389721,1,315446a086a23133
case19,1,5000,5000,96,1,1,0,0.354,0.586,PASS,0.000000,1,3514a9fac64642e6
case20,64,8192,8192,32,1,0,0,16.246,16.334,FAIL,1073.917969,0,95b5a816b1f387c2
case21,64,8192,8192,32,2,1,1,16.236,16.302,FAIL,1046.675781,0,6bde98c90f46bd49
case22,32,8192,8192,32,1,0,1,8.498,8.591,FAIL,1058.296875,0,1df54c530dbaeb0c
case23,64,8192,4096,32,2,1,0,8.357,8.414,FAIL,1121.773438,0,2d9e783326a5fc36
case24,16,8192,8192,32,1,0,0,4.739,4.800,FAIL,1056.242188,0,c3ba85cddd3d015e
case25,64,8192,8192,64,1,0,0,17.501,17.524,FAIL,1570.335938,0,de5097a543f9b3e3
case26,64,8192,8192,128,2,1,1,17.672,17.753,FAIL,2225.414062,0,14c5d8aae99794a8
case27,8,8192,8192,128,1,0,0,3.157,3.209,FAIL,2177.984375,0,3b9b3681b5119e3a
case28,1,100,100,32,1,0,0,0.202,0.231,PASS,0.000000,1,e45d63cba133fe06
case30,1,16,16,16,1,0,0,0.020,0.024,FAIL,38.646267,1,315446a086a23133
case45,1,512,512,512,1,0,0,0.060,0.076,PASS,0.000977,1,3dcbdecc6e9da6bd
case46,1,256,256,256,1,0,0,0.041,0.045,PASS,0.000000,1,a23d499b39822488
case47,1,1024,512,512,2,0,0,0.051,0.098,PASS,0.003906,1,1a0fc5919b173d06
case48,2,512,512,512,1,0,0,0.045,0.050,PASS,0.000000,1,056db903b007c3fd
case49,1,2048,1024,256,1,0,0,0.067,0.071,PASS,0.000000,1,ff18454be4218d79
case50,1,1024,128,1024,2,0,1,0.040,0.053,PASS,0.005859,1,834663cb69b27980
case51,1,4096,4096,2048,1,0,0,0.532,0.594,PASS,0.046875,1,7492b27ea41dffc3
