# soc=Ascend910_9362 cube=20 vec=40
case,B,M,N,K,dtype,tx1,tx2,min_ms,med_ms,pass,maxdiff,deterministic
case00,1,2,3,4,1,0,0,0.026,0.726,PASS,0.000000,1,ade672570ede4e3d
case01,1,16,256,64,1,0,0,0.040,0.951,FAIL,inf,1,2fa243a085324a9a
case02,1,100,100,100,1,0,0,0.208,2.645,PASS,0.000000,1,69eed9bf493a6294
case03,4,128,512,256,2,1,1,0.042,0.096,FAIL,inf,1,3d06afe813583ca3
case04,8,256,1024,512,1,0,1,0.068,0.152,FAIL,inf,1,9cfdc9dc7bd405c3
case05,16,64,2048,128,2,1,0,0.054,0.074,FAIL,inf,1,865b183124aae403
case06,1,1024,4096,512,2,0,1,0.100,0.133,FAIL,inf,1,2fa243a085324a9a
case07,1,512,4100,256,2,0,1,0.077,0.090,FAIL,inf,1,2fa243a085324a9a
case08,1,2048,8192,1024,1,0,0,0.395,0.482,FAIL,inf,1,2fa243a085324a9a
case09,1,4096,4096,4096,1,0,0,0.908,1.069,FAIL,inf,1,2fa243a085324a9a
case10,1,8192,8192,2048,2,1,1,2.325,3.149,FAIL,inf,1,2fa243a085324a9a
case11,1,8192,8192,8192,1,1,0,9.188,9.241,FAIL,inf,1,2fa243a085324a9a
case12,1,8191,8191,512,2,0,0,1.321,1.530,FAIL,inf,1,2fa243a085324a9a
case13,1,4096,100,2048,1,0,1,0.092,0.209,FAIL,inf,1,2fa243a085324a9a
case14,1,33,8192,128,2,1,0,0.099,0.123,FAIL,inf,1,2fa243a085324a9a
case15,2,2048,2048,2048,1,1,1,0.290,0.349,FAIL,inf,1,83efb8058cb63693
case16,1,1024,1024,4096,2,0,0,0.099,0.152,FAIL,inf,1,2fa243a085324a9a
case17,32,256,256,256,1,0,1,0.064,0.082,FAIL,inf,1,eb27b3df53d8a883
case18,1,16,16,16,2,1,1,0.035,0.038,PASS,0.000000,1,7e13cc0abcd04226
case19,1,5000,5000,96,1,1,0,0.324,0.551,FAIL,inf,1,2fa243a085324a9a
case20,64,8192,8192,32,1,0,0,10.758,10.783,FAIL,inf,1,82dcf3dbffde4d83
case21,64,8192,8192,32,2,1,1,10.465,10.549,FAIL,inf,1,82dcf3dbffde4d83
case22,32,8192,8192,32,1,0,1,5.720,5.744,FAIL,inf,1,eb27b3df53d8a883
case23,64,8192,4096,32,2,1,0,5.575,5.587,FAIL,inf,1,82dcf3dbffde4d83
case24,16,8192,8192,32,1,0,0,3.352,3.358,FAIL,inf,1,865b183124aae403
case25,64,8192,8192,64,1,0,0,12.249,12.313,FAIL,inf,1,82dcf3dbffde4d83
case26,64,8192,8192,128,2,1,1,14.118,14.168,FAIL,inf,1,82dcf3dbffde4d83
case27,8,8192,8192,128,1,0,0,2.750,2.773,FAIL,inf,1,9cfdc9dc7bd405c3
case28,1,100,100,32,1,0,0,0.200,0.242,PASS,0.000000,1,e45d63cba133fe06
case30,1,16,16,16,1,0,0,0.030,0.033,PASS,0.000000,1,ee2911911ae5e063
case45,1,512,512,512,1,0,0,0.058,0.084,FAIL,inf,1,2fa243a085324a9a
case46,1,256,256,256,1,0,0,0.041,0.045,FAIL,inf,1,2fa243a085324a9a
case47,1,1024,512,512,2,0,0,0.053,0.096,FAIL,inf,1,2fa243a085324a9a
case48,2,512,512,512,1,0,0,0.045,0.057,FAIL,inf,1,83efb8058cb63693
case49,1,2048,1024,256,1,0,0,0.066,0.070,FAIL,inf,1,2fa243a085324a9a
case50,1,1024,128,1024,2,0,1,0.042,0.054,FAIL,inf,1,2fa243a085324a9a
case51,1,4096,4096,2048,1,0,0,0.521,0.556,FAIL,inf,1,2fa243a085324a9a
