# soc=Ascend910_9362 cube=20 vec=40
case,B,M,N,K,dtype,tx1,tx2,min_ms,med_ms,pass,maxdiff,deterministic
case00,1,2,3,4,1,0,0,0.029,0.736,PASS,0.000000,1,ade672570ede4e3d
case01,1,16,256,64,1,0,0,0.035,0.941,FAIL,113.627213,1,315446a086a23133
case02,1,100,100,100,1,0,0,0.204,2.615,PASS,0.000000,1,69eed9bf493a6294
case03,4,128,512,256,2,1,1,0.040,0.108,FAIL,2083.743164,1,a31e272015f12c43
case04,8,256,1024,512,1,0,1,0.055,0.140,FAIL,6300.833008,1,171bb79dc8e18503
case05,16,64,2048,128,2,1,0,0.049,0.095,FAIL,841.023438,1,eebe4e4e51c6c683
case06,1,1024,4096,512,2,0,1,0.087,0.122,FAIL,27904.867188,1,315446a086a23133
case07,1,512,4100,256,2,0,1,0.073,0.086,FAIL,9828.547852,1,315446a086a23133
case08,1,2048,8192,1024,1,0,0,0.371,0.444,FAIL,83094.343750,1,315446a086a23133
case09,1,4096,4096,4096,1,0,0,0.864,1.037,FAIL,317295.812500,1,315446a086a23133
case10,1,8192,8192,2048,2,1,1,2.167,3.025,FAIL,470192.937500,1,315446a086a23133
case11,1,8192,8192,8192,1,1,0,9.164,9.175,FAIL,939624.437500,1,315446a086a23133
case12,1,8191,8191,512,2,0,0,1.206,1.395,FAIL,234098.515625,1,315446a086a23133
case13,1,4096,100,2048,1,0,1,0.089,0.202,FAIL,155531.390625,1,315446a086a23133
case14,1,33,8192,128,2,1,0,0.097,0.114,FAIL,466.283875,1,315446a086a23133
case15,2,2048,2048,2048,1,1,1,0.268,0.329,FAIL,106315.695312,1,47fe0d7eaf8e51e3
case16,1,1024,1024,4096,2,0,0,0.093,0.141,FAIL,70835.429688,1,315446a086a23133
case17,32,256,256,256,1,0,1,0.052,0.073,FAIL,3941.865967,1,306c537b2ff38983
case18,1,16,16,16,2,1,1,0.034,0.039,PASS,0.000000,1,7e13cc0abcd04226
case19,1,5000,5000,96,1,1,0,0.285,0.537,FAIL,59523.691406,1,315446a086a23133
case20,64,8192,8192,32,1,0,0,15.522,15.614,FAIL,56783.605469,1,dce53c1df8560f83
case21,64,8192,8192,32,2,1,1,15.499,15.578,FAIL,56797.871094,1,dce53c1df8560f83
case22,32,8192,8192,32,1,0,1,7.727,7.757,FAIL,56847.972656,1,306c537b2ff38983
case23,64,8192,4096,32,2,1,0,7.830,7.894,FAIL,54474.878906,1,dce53c1df8560f83
case24,16,8192,8192,32,1,0,0,3.927,4.011,FAIL,56749.019531,1,eebe4e4e51c6c683
case25,64,8192,8192,64,1,0,0,16.680,16.724,FAIL,81820.804688,1,dce53c1df8560f83
case26,64,8192,8192,128,2,1,1,16.778,16.816,FAIL,116693.398438,1,dce53c1df8560f83
case27,8,8192,8192,128,1,0,0,2.294,2.331,FAIL,116444.695312,1,171bb79dc8e18503
case28,1,100,100,32,1,0,0,0.199,0.244,PASS,0.000000,1,e45d63cba133fe06
case30,1,16,16,16,1,0,0,0.030,0.033,PASS,0.000000,1,ee2911911ae5e063
case45,1,512,512,512,1,0,0,0.058,0.077,FAIL,11749.009766,1,315446a086a23133
case46,1,256,256,256,1,0,0,0.041,0.043,FAIL,3814.602783,1,315446a086a23133
case47,1,1024,512,512,2,0,0,0.049,0.092,FAIL,23598.064453,1,315446a086a23133
case48,2,512,512,512,1,0,0,0.041,0.047,FAIL,11660.753906,1,47fe0d7eaf8e51e3
case49,1,2048,1024,256,1,0,0,0.050,0.061,FAIL,35341.335938,1,315446a086a23133
case50,1,1024,128,1024,2,0,1,0.035,0.048,FAIL,28320.064453,1,315446a086a23133
case51,1,4096,4096,2048,1,0,0,0.487,0.543,FAIL,224582.453125,1,315446a086a23133
