# soc=Ascend910_9362 cube=20 vec=40
case,B,M,N,K,dtype,tx1,tx2,min_ms,med_ms,pass,maxdiff,deterministic
case00,1,2,3,4,1,0,0,0.028,0.740,PASS,0.000000,1,ade672570ede4e3d
case01,1,16,256,64,1,0,0,0.048,0.974,PASS,0.000000,1,1046cc9bd43582d7
case02,1,100,100,100,1,0,0,0.065,0.079,PASS,0.000000,1,69eed9bf493a6294
case03,4,128,512,256,2,1,1,0.045,0.094,PASS,0.000244,1,96422ed9aabf15a4
case04,8,256,1024,512,1,0,1,0.070,0.155,PASS,0.000977,1,e610d4b002811e95
case05,16,64,2048,128,2,1,0,0.055,0.082,PASS,0.000061,1,35f3581cff801c7f
case06,1,1024,4096,512,2,0,1,0.100,0.133,PASS,0.005859,1,dc662950a36d636b
case07,1,512,4100,256,2,0,1,0.075,0.095,PASS,0.000977,1,1534ce1dd53d7658
case08,1,2048,8192,1024,1,0,0,0.418,0.488,PASS,0.007812,1,f8c84dd3a8171002
case09,1,4096,4096,4096,1,0,0,0.906,1.084,PASS,0.000000,1,afa2434c71ce7b80
case10,1,8192,8192,2048,2,1,1,2.345,3.095,PASS,0.218750,1,8955e3305b7e900b
case11,1,8192,8192,8192,1,1,0,9.258,9.335,PASS,0.000000,1,acff6d7d1ac46318
case12,1,8191,8191,512,2,0,0,1.348,1.568,PASS,0.015625,1,2421df71e54e2629
case13,1,4096,100,2048,1,0,1,0.112,0.232,PASS,0.000000,1,ecc2d54663630013
case14,1,33,8192,128,2,1,0,0.100,0.118,PASS,0.000000,1,34e8624b70c5d231
case15,2,2048,2048,2048,1,1,1,0.310,0.374,PASS,0.015625,1,b699558023891271
case16,1,1024,1024,4096,2,0,0,0.102,0.152,PASS,0.000000,1,e2f1200c4289b098
case17,32,256,256,256,1,0,1,0.068,0.095,PASS,0.000732,1,f4961c58c2b29534
case18,1,16,16,16,2,1,1,0.037,0.039,PASS,0.000000,1,7e13cc0abcd04226
case19,1,5000,5000,96,1,1,0,0.355,0.584,PASS,0.000000,1,3514a9fac64642e6
case20,64,8192,8192,32,1,0,0,16.431,16.522,FAIL,1079.113281,0,c7d8db76f57899f3
case21,64,8192,8192,32,2,1,1,16.364,16.478,FAIL,1050.921875,0,53e75b8894c07731
case22,32,8192,8192,32,1,0,1,8.588,8.683,FAIL,1053.605469,0,6c98194a853f9d43
case23,64,8192,4096,32,2,1,0,8.430,8.456,FAIL,1124.812500,0,0b3516a71ed58669
case24,16,8192,8192,32,1,0,0,4.789,4.862,FAIL,1040.113281,0,1c7b0f55f1f7f4a1
case25,64,8192,8192,64,1,0,0,17.646,17.667,FAIL,1613.281250,0,b7e80da5d0d7a08b
case26,64,8192,8192,128,2,1,1,17.827,17.875,FAIL,2224.054688,0,8861a644edf211c3
case27,8,8192,8192,128,1,0,0,3.212,3.257,FAIL,2111.843750,0,ffbbf80f7c034645
case28,1,100,100,32,1,0,0,0.041,0.055,PASS,0.000000,1,e45d63cba133fe06
case30,1,16,16,16,1,0,0,0.029,0.032,PASS,0.000000,1,ee2911911ae5e063
case45,1,512,512,512,1,0,0,0.060,0.084,PASS,0.000977,1,3dcbdecc6e9da6bd
case46,1,256,256,256,1,0,0,0.043,0.080,PASS,0.000000,1,a23d499b39822488
case47,1,1024,512,512,2,0,0,0.051,0.096,PASS,0.003906,1,1a0fc5919b173d06
case48,2,512,512,512,1,0,0,0.047,0.051,PASS,0.000000,1,056db903b007c3fd
case49,1,2048,1024,256,1,0,0,0.066,0.073,PASS,0.000000,1,ff18454be4218d79
case50,1,1024,128,1024,2,0,1,0.040,0.053,PASS,0.005859,1,834663cb69b27980
case51,1,4096,4096,2048,1,0,0,0.528,0.594,PASS,0.046875,1,7492b27ea41dffc3
