# soc=Ascend910_9362 cube=20 vec=40
case,B,M,N,K,dtype,tx1,tx2,min_ms,med_ms,pass,maxdiff,deterministic
case00,1,2,3,4,1,0,0,0.029,0.776,PASS,0.000000,1,ade672570ede4e3d
case01,1,16,256,64,1,0,0,0.036,0.957,PASS,0.000000,1,1046cc9bd43582d7
case02,1,100,100,100,1,0,0,0.055,0.065,PASS,0.000000,1,69eed9bf493a6294
case03,4,128,512,256,2,1,1,0.049,0.105,PASS,0.000244,1,96422ed9aabf15a4
case04,8,256,1024,512,1,0,1,0.071,0.152,PASS,0.000977,1,e610d4b002811e95
case05,16,64,2048,128,2,1,0,0.054,0.076,PASS,0.000061,1,35f3581cff801c7f
case06,1,1024,4096,512,2,0,1,0.098,0.133,PASS,0.005859,0,dc662950a36d636b
case07,1,512,4100,256,2,0,1,0.077,0.092,PASS,0.000977,1,1534ce1dd53d7658
case08,1,2048,8192,1024,1,0,0,0.423,0.491,PASS,6.882812,0,b8a5c630a02c92be
case09,1,4096,4096,4096,1,0,0,0.926,1.089,FAIL,52.468750,0,f438a6edbbd87d67
case10,1,8192,8192,2048,2,1,1,2.357,3.094,PASS,9.156250,0,4e9654582df20b9b
case11,1,8192,8192,8192,1,1,0,9.406,9.459,PASS,52.500000,0,35200ed6c9d3450d
case12,1,8191,8191,512,2,0,0,1.351,1.575,PASS,13.609375,0,6f7ee6e50e4593f7
case13,1,4096,100,2048,1,0,1,0.113,0.225,PASS,0.000000,1,ecc2d54663630013
case14,1,33,8192,128,2,1,0,0.101,0.129,PASS,0.000000,1,34e8624b70c5d231
case15,2,2048,2048,2048,1,1,1,0.307,0.365,PASS,0.015625,1,b699558023891271
case16,1,1024,1024,4096,2,0,0,0.101,0.143,PASS,0.000000,1,e2f1200c4289b098
case17,32,256,256,256,1,0,1,0.070,0.092,PASS,0.000732,1,f4961c58c2b29534
case18,1,16,16,16,2,1,1,0.035,0.038,PASS,0.000000,1,7e13cc0abcd04226
case19,1,5000,5000,96,1,1,0,0.356,0.616,PASS,0.000000,0,3514a9fac64642e6
case20,64,8192,8192,32,1,0,0,16.359,16.429,FAIL,1008.933594,0,75cfc644703ef6d7
case21,64,8192,8192,32,2,1,1,16.282,16.355,FAIL,1021.843750,0,1185d8f313deda2d
case22,32,8192,8192,32,1,0,1,8.513,8.574,FAIL,1021.035156,0,3b819358034887b5
case23,64,8192,4096,32,2,1,0,8.357,8.392,FAIL,1089.382812,0,617487962ffae252
case24,16,8192,8192,32,1,0,0,4.751,4.818,FAIL,1014.292969,0,a951977b52ca0a4a
case25,64,8192,8192,64,1,0,0,17.434,17.495,FAIL,1497.093750,0,10816031cfc6da68
case26,64,8192,8192,128,2,1,1,17.604,17.644,FAIL,2172.554688,0,0dc308d9bed8fde2
case27,8,8192,8192,128,1,0,0,3.117,3.157,FAIL,2100.820312,0,01b9c21cd699d0c1
case28,1,100,100,32,1,0,0,0.045,0.051,PASS,0.000000,1,e45d63cba133fe06
case30,1,16,16,16,1,0,0,0.030,0.033,PASS,0.000000,1,ee2911911ae5e063
case45,1,512,512,512,1,0,0,0.061,0.082,PASS,0.000977,1,3dcbdecc6e9da6bd
case46,1,256,256,256,1,0,0,0.044,0.050,PASS,0.000000,1,a23d499b39822488
case47,1,1024,512,512,2,0,0,0.053,0.092,PASS,0.003906,1,1a0fc5919b173d06
case48,2,512,512,512,1,0,0,0.048,0.056,PASS,0.000000,1,056db903b007c3fd
case49,1,2048,1024,256,1,0,0,0.069,0.074,PASS,0.000000,1,ff18454be4218d79
case50,1,1024,128,1024,2,0,1,0.042,0.054,PASS,0.005859,1,834663cb69b27980
case51,1,4096,4096,2048,1,0,0,0.540,0.588,PASS,15.234375,0,226bdd25b75077a3
